alert,risk,riskcode,confidence,cwe,wasc,url,method,param,evidence,description,solution,reference
Modern Web Application,INFORMATIONAL,0,Medium,-1,-1,https://localhost:8443/benchmark/ldapi-00/BenchmarkTest00044.html?BenchmarkTest00044=SafeText,GET,,"<script src=""/benchmark/js/jquery.min.js"" type=""text/javascript""></script>",<p>The application appears to be a modern web application. If you need to explore it automatically then the Ajax Spider may well be more effective than the standard one.</p>,<p>This is an informational alert and so no changes are required.</p>,
Modern Web Application,INFORMATIONAL,0,Medium,-1,-1,https://localhost:8443/benchmark/securecookie-00/BenchmarkTest00016.html?BenchmarkTest00016=SafeText,GET,,"<script src=""/benchmark/js/jquery.min.js"" type=""text/javascript""></script>",<p>The application appears to be a modern web application. If you need to explore it automatically then the Ajax Spider may well be more effective than the standard one.</p>,<p>This is an informational alert and so no changes are required.</p>,
Modern Web Application,INFORMATIONAL,0,Medium,-1,-1,https://localhost:8443/benchmark/securecookie-00/BenchmarkTest00170.html?BenchmarkTest00170=SafeText,GET,,"<script src=""/benchmark/js/jquery.min.js"" type=""text/javascript""></script>",<p>The application appears to be a modern web application. If you need to explore it automatically then the Ajax Spider may well be more effective than the standard one.</p>,<p>This is an informational alert and so no changes are required.</p>,
Non-Storable Content,INFORMATIONAL,0,Medium,524,13,https://localhost:8443/benchmark/cmdi-Index.html,GET,,no-store,"<p>The response contents are not storable by caching components such as proxy servers. If the response does not contain sensitive, personal or user-specific information, it may benefit from being stored and cached, to improve performance.</p>","<p>The content may be marked as storable by ensuring that the following conditions are satisfied:</p><p>The request method must be understood by the cache and defined as being cacheable (""GET"", ""HEAD"", and ""POST"" are currently defined as cacheable)</p><p>The response status code must be understood b",<p>https://datatracker.ietf.org/doc/html/rfc7234</p><p>https://datatracker.ietf.org/doc/html/rfc7231</p><p>https://www.w3.org/Protocols/rfc2616/rfc261
Non-Storable Content,INFORMATIONAL,0,Medium,524,13,https://localhost:8443/benchmark/crypto-Index.html,GET,,no-store,"<p>The response contents are not storable by caching components such as proxy servers. If the response does not contain sensitive, personal or user-specific information, it may benefit from being stored and cached, to improve performance.</p>","<p>The content may be marked as storable by ensuring that the following conditions are satisfied:</p><p>The request method must be understood by the cache and defined as being cacheable (""GET"", ""HEAD"", and ""POST"" are currently defined as cacheable)</p><p>The response status code must be understood b",<p>https://datatracker.ietf.org/doc/html/rfc7234</p><p>https://datatracker.ietf.org/doc/html/rfc7231</p><p>https://www.w3.org/Protocols/rfc2616/rfc261
Non-Storable Content,INFORMATIONAL,0,Medium,524,13,https://localhost:8443/benchmark/css/normalize.css,GET,,no-store,"<p>The response contents are not storable by caching components such as proxy servers. If the response does not contain sensitive, personal or user-specific information, it may benefit from being stored and cached, to improve performance.</p>","<p>The content may be marked as storable by ensuring that the following conditions are satisfied:</p><p>The request method must be understood by the cache and defined as being cacheable (""GET"", ""HEAD"", and ""POST"" are currently defined as cacheable)</p><p>The response status code must be understood b",<p>https://datatracker.ietf.org/doc/html/rfc7234</p><p>https://datatracker.ietf.org/doc/html/rfc7231</p><p>https://www.w3.org/Protocols/rfc2616/rfc261
Non-Storable Content,INFORMATIONAL,0,Medium,524,13,https://localhost:8443/benchmark/ldapi-00/BenchmarkTest00044.html?BenchmarkTest00044=SafeText,GET,,no-store,"<p>The response contents are not storable by caching components such as proxy servers. If the response does not contain sensitive, personal or user-specific information, it may benefit from being stored and cached, to improve performance.</p>","<p>The content may be marked as storable by ensuring that the following conditions are satisfied:</p><p>The request method must be understood by the cache and defined as being cacheable (""GET"", ""HEAD"", and ""POST"" are currently defined as cacheable)</p><p>The response status code must be understood b",<p>https://datatracker.ietf.org/doc/html/rfc7234</p><p>https://datatracker.ietf.org/doc/html/rfc7231</p><p>https://www.w3.org/Protocols/rfc2616/rfc261
Non-Storable Content,INFORMATIONAL,0,Medium,524,13,https://localhost:8443/benchmark/trustbound-Index.html,GET,,no-store,"<p>The response contents are not storable by caching components such as proxy servers. If the response does not contain sensitive, personal or user-specific information, it may benefit from being stored and cached, to improve performance.</p>","<p>The content may be marked as storable by ensuring that the following conditions are satisfied:</p><p>The request method must be understood by the cache and defined as being cacheable (""GET"", ""HEAD"", and ""POST"" are currently defined as cacheable)</p><p>The response status code must be understood b",<p>https://datatracker.ietf.org/doc/html/rfc7234</p><p>https://datatracker.ietf.org/doc/html/rfc7231</p><p>https://www.w3.org/Protocols/rfc2616/rfc261
Session Management Response Identified,INFORMATIONAL,0,Medium,-1,-1,https://localhost:8443/benchmark/cmdi-00/BenchmarkTest00091,GET,BenchmarkTest00091,BenchmarkTest00091,"<p>The given response has been identified as containing a session management token. The 'Other Info' field contains a set of header tokens that can be used in the Header Based Session Management Method. If the request is in a context which has a Session Management Method set to ""Auto-Detect"" then th",<p>This is an informational alert rather than a vulnerability and so there is nothing to fix.</p>,<p>https://www.zaproxy.org/docs/desktop/addons/authentication-helper/session-mgmt-id/</p>
Session Management Response Identified,INFORMATIONAL,0,Medium,-1,-1,https://localhost:8443/benchmark/cmdi-00/BenchmarkTest00092,GET,BenchmarkTest00092,BenchmarkTest00092,"<p>The given response has been identified as containing a session management token. The 'Other Info' field contains a set of header tokens that can be used in the Header Based Session Management Method. If the request is in a context which has a Session Management Method set to ""Auto-Detect"" then th",<p>This is an informational alert rather than a vulnerability and so there is nothing to fix.</p>,<p>https://www.zaproxy.org/docs/desktop/addons/authentication-helper/session-mgmt-id/</p>
Session Management Response Identified,INFORMATIONAL,0,Medium,-1,-1,https://localhost:8443/benchmark/crypto-00/BenchmarkTest00053,GET,BenchmarkTest00053,BenchmarkTest00053,"<p>The given response has been identified as containing a session management token. The 'Other Info' field contains a set of header tokens that can be used in the Header Based Session Management Method. If the request is in a context which has a Session Management Method set to ""Auto-Detect"" then th",<p>This is an informational alert rather than a vulnerability and so there is nothing to fix.</p>,<p>https://www.zaproxy.org/docs/desktop/addons/authentication-helper/session-mgmt-id/</p>
Session Management Response Identified,INFORMATIONAL,0,Medium,-1,-1,https://localhost:8443/benchmark/crypto-00/BenchmarkTest00054,GET,BenchmarkTest00054,BenchmarkTest00054,"<p>The given response has been identified as containing a session management token. The 'Other Info' field contains a set of header tokens that can be used in the Header Based Session Management Method. If the request is in a context which has a Session Management Method set to ""Auto-Detect"" then th",<p>This is an informational alert rather than a vulnerability and so there is nothing to fix.</p>,<p>https://www.zaproxy.org/docs/desktop/addons/authentication-helper/session-mgmt-id/</p>
Session Management Response Identified,INFORMATIONAL,0,Medium,-1,-1,https://localhost:8443/benchmark/crypto-00/BenchmarkTest00055,GET,BenchmarkTest00055,BenchmarkTest00055,"<p>The given response has been identified as containing a session management token. The 'Other Info' field contains a set of header tokens that can be used in the Header Based Session Management Method. If the request is in a context which has a Session Management Method set to ""Auto-Detect"" then th",<p>This is an informational alert rather than a vulnerability and so there is nothing to fix.</p>,<p>https://www.zaproxy.org/docs/desktop/addons/authentication-helper/session-mgmt-id/</p>
Session Management Response Identified,INFORMATIONAL,0,Medium,-1,-1,https://localhost:8443/benchmark/crypto-00/BenchmarkTest00056,GET,BenchmarkTest00056,BenchmarkTest00056,"<p>The given response has been identified as containing a session management token. The 'Other Info' field contains a set of header tokens that can be used in the Header Based Session Management Method. If the request is in a context which has a Session Management Method set to ""Auto-Detect"" then th",<p>This is an informational alert rather than a vulnerability and so there is nothing to fix.</p>,<p>https://www.zaproxy.org/docs/desktop/addons/authentication-helper/session-mgmt-id/</p>
Session Management Response Identified,INFORMATIONAL,0,Medium,-1,-1,https://localhost:8443/benchmark/hash-00/BenchmarkTest00003,GET,BenchmarkTest00003,BenchmarkTest00003,"<p>The given response has been identified as containing a session management token. The 'Other Info' field contains a set of header tokens that can be used in the Header Based Session Management Method. If the request is in a context which has a Session Management Method set to ""Auto-Detect"" then th",<p>This is an informational alert rather than a vulnerability and so there is nothing to fix.</p>,<p>https://www.zaproxy.org/docs/desktop/addons/authentication-helper/session-mgmt-id/</p>
Session Management Response Identified,INFORMATIONAL,0,Medium,-1,-1,https://localhost:8443/benchmark/hash-00/BenchmarkTest00069,GET,BenchmarkTest00069,BenchmarkTest00069,"<p>The given response has been identified as containing a session management token. The 'Other Info' field contains a set of header tokens that can be used in the Header Based Session Management Method. If the request is in a context which has a Session Management Method set to ""Auto-Detect"" then th",<p>This is an informational alert rather than a vulnerability and so there is nothing to fix.</p>,<p>https://www.zaproxy.org/docs/desktop/addons/authentication-helper/session-mgmt-id/</p>
Session Management Response Identified,INFORMATIONAL,0,Medium,-1,-1,https://localhost:8443/benchmark/hash-00/BenchmarkTest00070,GET,BenchmarkTest00070,BenchmarkTest00070,"<p>The given response has been identified as containing a session management token. The 'Other Info' field contains a set of header tokens that can be used in the Header Based Session Management Method. If the request is in a context which has a Session Management Method set to ""Auto-Detect"" then th",<p>This is an informational alert rather than a vulnerability and so there is nothing to fix.</p>,<p>https://www.zaproxy.org/docs/desktop/addons/authentication-helper/session-mgmt-id/</p>
Session Management Response Identified,INFORMATIONAL,0,Medium,-1,-1,https://localhost:8443/benchmark/hash-00/BenchmarkTest00071,GET,BenchmarkTest00071,BenchmarkTest00071,"<p>The given response has been identified as containing a session management token. The 'Other Info' field contains a set of header tokens that can be used in the Header Based Session Management Method. If the request is in a context which has a Session Management Method set to ""Auto-Detect"" then th",<p>This is an informational alert rather than a vulnerability and so there is nothing to fix.</p>,<p>https://www.zaproxy.org/docs/desktop/addons/authentication-helper/session-mgmt-id/</p>
Session Management Response Identified,INFORMATIONAL,0,Medium,-1,-1,https://localhost:8443/benchmark/trustbound-00/BenchmarkTest00098,GET,BenchmarkTest00098,BenchmarkTest00098,"<p>The given response has been identified as containing a session management token. The 'Other Info' field contains a set of header tokens that can be used in the Header Based Session Management Method. If the request is in a context which has a Session Management Method set to ""Auto-Detect"" then th",<p>This is an informational alert rather than a vulnerability and so there is nothing to fix.</p>,<p>https://www.zaproxy.org/docs/desktop/addons/authentication-helper/session-mgmt-id/</p>
Session Management Response Identified,INFORMATIONAL,0,Medium,-1,-1,https://localhost:8443/benchmark/trustbound-00/BenchmarkTest00004,POST,JSESSIONID,JSESSIONID,"<p>The given response has been identified as containing a session management token. The 'Other Info' field contains a set of header tokens that can be used in the Header Based Session Management Method. If the request is in a context which has a Session Management Method set to ""Auto-Detect"" then th",<p>This is an informational alert rather than a vulnerability and so there is nothing to fix.</p>,<p>https://www.zaproxy.org/docs/desktop/addons/authentication-helper/session-mgmt-id/</p>
